planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,predicted_fauna,predicted_flora,fauna_result,flora_result,planet_resources_inorganics,planet_resources_organics,planet_animal_farm_resources,planet_plant_farm_resources,planet_inorganic_resources_count,planet_organic_resources_count,planet_animal_farm_resources_count,planet_plant_farm_resources_count,o2,temperature degree reading,condition,ok for 0 hab skill,temperature_atmosphere,type_body_magnetosphere,predict_irradiation
Al-Battani I,,AlBattaniI,Barren,Planet,Barren Planet,Al-Battani,35,1.00,Inferno,High CO2,None,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Fe,3,1.0000,4,1,1,-1,-2,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Inferno High CO2,Barren Planet None,1
Al-Battani I-a,,AlBattaniIa,Barren,Moon,Barren Moon,Al-Battani,35,0.23,Inferno,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Inferno None,Barren Moon None,1
Al-Battani I-b,,AlBattaniIb,Barren,Moon,Barren Moon,Al-Battani,35,0.27,Inferno,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Inferno None,Barren Moon None,1
Al-Battani I-c,,AlBattaniIc,Barren,Moon,Barren Moon,Al-Battani,35,0.16,Inferno,None,None,None,"Fe,He-3,Ta",3,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0,0,"Fe,He-3,Ta",,,,3,0,0,0,,,,,Inferno None,Barren Moon None,1
Al-Battani II,,AlBattaniII,Rock,Planet,Rock Planet,Al-Battani,35,0.84,Temperate,Std O2,Weak,Safe,"Ae,Ah,Cu,Dy,Fi,H2O,Ha,HnCn,IL,MA,Ni,OM,Pb,Se,Tx",15,Moderate (7),Marginal (3),"Hills,Mountains,Ocean,Polar-Ice","Hills,Mountains,Ocean,Ice",Unknown,75.0%,Yes,0,0,0,0,"Ae,Se",4,0.0089,6,3,6,6,3,7,3,"Cu,Dy,H2O,HnCn,IL,Ni,Pb","Ah,Ae,Fi,Ha,MA,OM,Se,Tx",Ah,"Ae,Fi,Ha,MA,OM,Se,Tx",7,8,1,7,,,,,Temperate Std O2,Rock Planet Weak,0
Al-Battani III,,AlBattaniIII,Rock,Planet,Rock Planet,Al-Battani,35,1.51,Cold,Extr M,Very strong,None,"Cu,F,Ni,Pb,Pd",5,None,None,"Desert-Rocky,Hills,SavannahBarren","Desert,Hills,Savanna",Unknown,58.3%,No,0,2,0,0,,4,0.0000,5,6,1,-3,-3,0,0,"Cu,F,Ni,Pb,Pd",,,,5,0,0,0,,,,,Cold Extr M,Rock Planet Very strong,0
Al-Battani III-a,,AlBattaniIIIa,Barren,Moon,Barren Moon,Al-Battani,35,0.15,Cold,None,None,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Cold None,Barren Moon None,0
Al-Battani III-b,,AlBattaniIIIb,Barren,Moon,Barren Moon,Al-Battani,35,0.13,Cold,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Cold None,Barren Moon None,0
Al-Battani IV,,AlBattaniIV,Rock,Planet,Rock Planet,Al-Battani,35,0.79,Frozen,Std N2,Very strong,Chemical,"Cl,Fe,H2O,HnCn,Pb,SiH3Cl",6,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,Fe,4,0.2787,2,6,3,0,-1,0,0,"Cl,Fe,H2O,HnCn,Pb,SiH3Cl",,,,6,0,0,0,,,,,Frozen Std N2,Rock Planet Very strong,0
Al-Battani IV-a,,AlBattaniIVa,Barren,Moon,Barren Moon,Al-Battani,35,0.07,Frozen,None,None,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,Fe,3,0.2787,1,1,1,-3,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Frozen None,Barren Moon None,0
